REG_ID_ENR,OTHER_INSTITUTION_AUTRE
499390,CANADIAN SECURITY INTELLIGENCE SERVICES
499390,STANDING COMMITTEE ON TRANSPORTATION
499391,CITIES SECRETARIAT
499394,CITIES SECRETARIAT
499395,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
499395,OFFICE OF THE COMMISSIONER OF THE NORTHERN PIPELINE AGENCY
499397,CANADA REVENUE SERVICES
499397,CITIES SECRETARIAT
499399,PUBLIC SAFETY & EMERGENCY PREPAREDNESS
499399,CANADIAN SECURITY INTELLIGENCE SERVICES
499399,STANDING COMMITTEE ON TRANSPORTATION
499400,PUBLIC SAFTEY & EMERGENCY PREPAREDNESS
499400,CANADIAN SECURITY INTELLIGENCE SERVICES
499400,STANDING COMMITTEE ON TRANSPORTATION
499401,EXPORT DEVELOPMENT BANK
499401,CANADIAN JUDICIAL COUNCIL
499403,Public Safety & Emergency Preparedness
499412,PMO
499414,Office of the Superintendent of Financial Institutions
499414,Canada Mortgage Housing Corporation
499414,Export Development Corporation
499414,Sustainability Development Technology
511392,Parliament
511394,Canadian Institute of Health Research
511394,Canadian Public Health Agency
511394,Investment Review Agency
511415,"Bank of Canada, Office of the Superintendent of Financial Institutions (OSFI)"
511416,CFIA
511424,Canada Customs and Revenue Agency
511441,Municipal and Provincial Governments
511441,Educational Institutions and Hospital Boards
511442,LABOUR AND HOUSING
511442,HUMAN RESOURCES AND SKILLS DEVELOPMENT
511445,Heritage Canada
511453,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS;
511453,DEPARTMENT OF INTERNATIONAL AFFAIRS
511453,EXPORT DEVELOPMENT CORPORATION
511453,OCIPEP (OFFICE OF CRITICAL INFRASTRUCTURE AND PUBLIC SAFETY AND EMERGENCY PREPAREDNESS
511453,HERITAGE CANADA FOUNDATION
511459,Strategic Aerospace Defence Initiative (SADI)
511470,Pilotage Authorities
511472,Public Safety and Emergency Preparedness
511485,MEMBERS OF PARLIAMENT
511494,Office of the Minister of International Trade
511494,Office of the Secretary of State (Small Business and Tourism)
511499,Senators
511499,Infrastructure
511500,INFRASTRUCTURE
511516,Canadian Institutes for Health Research
511520,"the Office of the Superintendent of Financial Institutions,"
511520,Canada Deposit Insurance Company
511521,Canada Deposit Insurance Company
511521,the Office of the Superintendent of Financial Institutions
511532,Sport
511532,MPs
511532,Cabinet Members
511536,Office of the Superintendent of Financial Institutions
511537,Office of the Superintendant of Financial Institutions
511546,International Trade
511553,Food Inspection Agency
511560,CANADIAN BORDER SERVICES AGENCY
