Filing Date,Termination Date,Organization,Client Name,Designated Filer,Government Department Lobbied,Prescribed Provincial Entity Lobbied,Subject Matter of Lobbying,Registration Number,Type of Lobbyist,Lobbyists,Type of Registration,Registration Status,View
2022-10-14,-,ConocoPhillips Canada Resources Corp.,-,Bijan Agarwal,"Alberta Environment and Parks, Alberta Energy, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Treasury Board and Finance, Premier's Office","Alberta Petroleum Marketing Commission, Alberta Energy Regulator","Energy, Climate, Environment, Municipal Affairs",OL-10099-33,Organization Lobbyist,"Jodi Prior, Cary Allan, Jeff Gow, Fred Walter, Robert Albricht, Kim Iverson, Peter Koning, Rickie-Lee Doyle, Chris Malkin, Charlotte Plombin, Bijan Agarwal, Gunnar Johnsen, Devin O'Neal, James Makowecki, Tyler Blasetti, Cam Sorenson",Notice of Change,Archived,View 
2022-10-14,-,ENMAX Corporation,-,Mark Poweska,"Alberta Energy, Executive Council, Service Alberta, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Innovates, Alberta Electric System Operator, Balancing Pool, Market Surveillance Administrator, Invest Alberta Corporation","Energy, Consumer Issues, Environment",OL-10279-66,Organization Lobbyist,"Mark Poweska, Erica Young, Randall Stubbings, Mark McGillivray, Chris McCleave, Chris Joy, Timothy Boston, Sarah Stevens, Jana Mosley, Shiv Kumar, Tracy Coutts, Rose Ferrer, Sheizana Murji, Greg Retzer, Janene Taylor",Notice of Change,Archived,View 
2022-10-13,-,Cenovus Energy Inc.,-,Alex Pourbaix,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Energy, Alberta Municipal Affairs, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Justice and Solicitor General, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office","Alberta Petroleum Marketing Commission, Alberta Utilities Commission, Alberta Energy Regulator, Alberta Electric System Operator","Energy, Taxes and Finance, Environment, Municipal Affairs, Indigenous Relations, Infrastructure, Workplace Safety, Labour Relations",OL-10248-29,Organization Lobbyist,"Kerry Margetts, Aaron Studer, Patricia Hill, Carlos Serrato, Stephanie Kitchen, Alex Pourbaix, Jessica Player, Jeff Nail, Sharla Howard, Devin Iversen, Owen Henshaw, Alisha Bhura, Sam Murphy, Norrie Ramsay, Jeff Jeworski, Andrew Straile, Trent Zacharias, Drew Zieglgansberger, Lindsay Reynolds, Grant Pellegrin, Michael Cody, Ted Johnson, Jamie Agnew, Greg Cave, Jared Robertson, Kam Sandhar, Michael Wilson, Jillian Falls, Brooke Lindsey, Geoff Murray, Gary Molnar, Sean Hiebert, Michael Penner, Eric Wakley, Michele Waters, Sherry Wendt, Brett Wiens, Troy Peterson, Jennifer Shalagan, Shannon McDougall, Travis Davies, Ray Lambert, Rhona DelFrari, Susan Grey, Suzanne Smith, Mike Plettel, Charles Gobin, Darwin Bateyko, Shane Cooke, Shelley Machon, Keith Chiasson, Amos Ben-Zvi, Patrick McKay, Prince Azom, Chris Moody, Claire Hong, Tony Jackson, Scott Hillier, Jim Lytle, Tyler Tarnoczi, Jon McKenzie, Morgan Wrishko, Andrea Louise, John Dowsett, Steve Hicks, Ben Hale",Notice of Change,Archived,View 
2022-10-13,2022-11-02,Counsel Public Affairs Inc.,OPENCIRCLE MEMBERSHIP SERVICES AND WORKFORCE DEVELOPMENT ASSOCIATION,Philip Dewan,"Alberta Labour and Immigration, Alberta Infrastructure, Alberta Municipal Affairs, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Education, Alberta Culture and Status of Women, Alberta Health, Alberta Transportation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education",-,"Employment and Training, Budget, Health, Trades and Occupations",CL-11340-19,Consultant Lobbyist,Amber Ruddy,Notice of Change,Terminated,View 
2022-10-13,-,Counsel Public Affairs Inc.,Canadian Battery Association,Philip Dewan,"Alberta Environment and Parks, Alberta Energy",-,Environment,CL-12532-05,Consultant Lobbyist,"Amber Ruddy, Brad Lavigne",Notice of Change,Archived,View 
2022-10-13,-,Counsel Public Affairs Inc.,Emergent BioSolutions Canada Inc. (formerly Adapt Pharma Canada Ltd.),Philip Dewan,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Energy, Alberta Children’s Services, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Community and Social Services, Alberta Jobs, Economy and Innovation, Executive Council, Service Alberta, Alberta Culture and Status of Women, Alberta Education, Alberta Justice and Solicitor General, Alberta Health, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Alberta Seniors and Housing, Premier's Office, Alberta Advanced Education",-,Health,CL-11418-13,Consultant Lobbyist,"Bradley Lavigne, Amber Ruddy",Notice of Change,Archived,View 
2022-10-11,-,New West Public Affairs,Algae Control Canada,Monte Solberg,"Alberta Environment and Parks, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Environment,CL-12517-02,Consultant Lobbyist,"Graham Gerein, Sonia Kont, Gordon Olsen, Keith McLaughlin, Michael Solberg, Monte Solberg, Sarah Painchaud, Fahreen Budhwani, Alysha Mohamed",Notice of Change,Archived,View 
2022-10-11,2022-11-01,New West Public Affairs,Chartered Professionals in Human Resources of Alberta (CPHR AB),Monte Solberg,"Alberta Labour and Immigration, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office",-,Trades and Occupations,CL-12147-05,Consultant Lobbyist,"Graham Gerein, Sonia Kont, Sarah Painchaud, Michael Solberg, Monte Solberg, Keith McLaughlin, Gordon Olsen, Fahreen Budhwani, Alysha Mohamed",Notice of Change,Terminated,View 
2022-10-11,2022-11-03,New West Public Affairs,Clean Water Clarification Technologies Inc.,Monte Solberg,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly, Premier's Office",-,Economic Development,CL-12515-03,Consultant Lobbyist,"Gordon Olsen, Michael Solberg, Keith McLaughlin, Sonia Kont, Sarah Painchaud, Graham Gerein, Monte Solberg, Fahreen Budhwani, Alysha Mohamed",Notice of Change,Terminated,View 
2022-10-09,-,CNOOC Petroleum North America ULC,-,Yongjie Liu,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Premier's Office",-,"Energy, Environment, Trade, Economic Development",OL-10375-48,Organization Lobbyist,"Scott Chalker, Michael J. Dlugan",Semi-Annual Renewal,Archived,View 
2022-10-09,-,Osborne Group Contract Executives Corp,Western Canadian Wheat Growers Association,Mark Olson,"Alberta Agriculture, Forestry and Rural Economic Development",-,Agriculture,CL-11618-04,Consultant Lobbyist,Dave Quist,Notice of Change,Archived,View 
2022-10-07,-,Cisco Systems Canada Co.,-,Shannon Leininger,"Alberta Environment and Parks, Service Alberta, Alberta Justice and Solicitor General, Alberta Education, Alberta Health, Alberta Treasury Board and Finance, Alberta Advanced Education",-,"Taxes and Finance, Health, Procurement, Justice and Law Enforcement, Environment, Post-secondary Education, Science and Technology",OL-10462-25,Organization Lobbyist,"Gaetan Houle, Ali Afshari, Rebecca Leach, Bob DuChene, Gary Schriber, Jess Murphy, Rob Campagna, Rob Barton, Oleg Tolchinsky, Eric Thibault, Ron Rotman, Ryan LaTorre, Patrick LeMaistre, Dean Boechler, Shawn Cardinal, Duha Younes, Jason Maynard, Willa Black, Jeff Campbell, Cathy Worden, Raj Dhaliwal, Marc Poretti, David Anderton, Robi Chamas, Shannon Leininger, Don Orlik, Ian Procyk, Pirasath Kirupakaran, Cardin Klassen, Wayne Cuervo, Jason Stegeman, Yanick Sauro, Clinton Neusitzer, Nadine Paz, Tom Amery",Semi-Annual Renewal,Archived,View 
2022-10-07,2022-10-08,Maple Leaf Strategies,The Prostate Cancer Centre,Phil von Finckenstein,"Executive Council, Alberta Health, Alberta Treasury Board and Finance, Premier's Office",-,Health,CL-12926-01,Consultant Lobbyist,Kelley Charlebois,Initial Return,Terminated,View 
2022-10-07,-,Alberta Counsel,Municipal District of Greenview,Jonathon Wescott,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Justice and Solicitor General, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office",-,"Municipal Affairs, Economic Development",CL-12930-01,Consultant Lobbyist,"Shayne Saskiw, Pascal Ryffel, Jonathon Wescott, Zack Ziolkowski, Aileen Burke, Heather Feldbusch, Aaron Singleton, Sydney McHale, James Johnson",Initial Return,Archived,View 
2022-10-07,2022-10-26,Counsel Public Affairs Inc.,Biogen Canada,Philip Dewan,"Executive Council, Alberta Jobs, Economy and Innovation, Alberta Health, Premier's Office",-,Health,CL-12527-04,Consultant Lobbyist,"Brad Lavigne, Amber Ruddy",Notice of Change,Terminated,View 
2022-10-07,-,Counsel Public Affairs Inc.,TELUS Corporation,Philip Dewan,Alberta Legislative Assembly,-,"Health, Agriculture, Procurement, Economic Development",CL-12769-02,Consultant Lobbyist,"Bradley Lavigne, Amber Ruddy, Jean-Marc Prevost",Notice of Change,Archived,View 
2022-10-06,-,Ian Murray & Company Ltd.,Mercer International Inc.,Ian Murray,"Alberta Environment and Parks, Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office",-,Economic Development,CL-12922-01,Consultant Lobbyist,"Bob Baer, Nathan Dudley, Ian Murray, David Dorward, Bill Bewick, Robert Savage",Initial Return,Archived,View 
2022-10-06,-,New West Public Affairs,Clearpoint Health Network Inc.,Monte Solberg,"Alberta Health, Alberta Legislative Assembly, Premier's Office",Alberta Health Services,Health,CL-12927-01,Consultant Lobbyist,"Monte Solberg, Michael Solberg, Keith McLaughlin, Gordon Olsen, Sonia Kont, Sarah Painchaud, Graham Gerein, Fahreen Budwhani",Initial Return,Archived,View 
2022-10-06,-,OpenCircle Membership Services and Workforce Development Association,-,Line Porfon,"Alberta Labour and Immigration, Alberta Infrastructure, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Executive Council, Alberta Education, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office","Alberta Apprenticeship and Industry Training Board, Workers’ Compensation Board","Budget, Employment and Training, Health, Post-secondary Education, Trade, K-12 Education, Trades and Occupations, Labour Relations",OL-10409-27,Organization Lobbyist,"Elizabeth Hammell, Line Porfon, Alan Kuysters, Brian Lacey, Glenna Laing",Semi-Annual Renewal,Archived,View 
2022-10-05,-,Wellington Advocacy Inc.,Heartland Generation Ltd.,Nick Koolsbergen,"Alberta Environment and Parks, Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Treasury Board and Finance, Premier's Office",Invest Alberta Corporation,Energy,CL-12766-03,Consultant Lobbyist,"Nick Koolsbergen, Matt de Jong, Peter Csillag, Brad Tennant",Notice of Change,Archived,View 
2022-10-05,-,Wellington Advocacy Inc.,Building Industry and Land Development (BILD) Alberta Association,Nick Koolsbergen,"Alberta Energy, Service Alberta, Alberta Municipal Affairs, Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office, Alberta Seniors and Housing",-,"Small Business, Municipal Affairs",CL-12473-04,Consultant Lobbyist,"Matt de Jong, Peter Csillag, Brad Tennant",Notice of Change,Archived,View 
2022-10-04,-,Jangula and Company,Coalition of Canadian Independent Craft Brewers,Craig Jangula,"Executive Council, Alberta Jobs, Economy and Innovation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission","Taxes and Finance, Liquor, Trade, Intergovernmental Relations",CL-10652-17,Consultant Lobbyist,Craig Jangula,Notice of Change,Archived,View 
2022-10-04,-,"Rothmans, Benson, & Hedges",-,Mindaugas Trumpaitis,"Alberta Environment and Parks, Executive Council, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,"Budget, Health, Taxes and Finance, Environment",OL-10507-16,Organization Lobbyist,"Gerald Proctor, Colin Weeres, Jeff Gaulin",Semi-Annual Renewal,Archived,View 
2022-10-04,-,Counsel Public Affairs Inc.,Tourmaline Oil Corp.,Philip Dewan,"Alberta Energy, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Executive Council, Premier's Office",Alberta Energy Regulator,"Energy, Environment, Municipal Affairs",CL-12917-01,Consultant Lobbyist,"T.J. Keil, Brad Lavigne",Initial Return,Archived,View 
2022-10-03,-,Counsel Public Affairs Inc.,Athabasca Chipewyan First Nation,Philip Dewan,"Alberta Environment and Parks, Alberta Energy, Executive Council, Alberta Indigenous Relations, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Culture and Status of Women, Alberta Health, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education",Alberta Energy Regulator,"Arts and Culture, Health, Environment, Justice and Law Enforcement, Indigenous Relations, Municipal Affairs, K-12 Education",CL-11070-15,Consultant Lobbyist,T.J. Keil,Notice of Change,Archived,View 
2022-10-03,-,Methanex Corporation,-,John Floren,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Legislative Assembly, Alberta Treasury Board and Finance",-,"Energy, Environment, Economic Development",OL-10459-56,Organization Lobbyist,"Brad Apking, Jody Magill, Mark Allard, Kevin Henderson, Renato Monteiro, Jeff Ngo, Ryan Hornung",Semi-Annual Renewal,Archived,View 
2022-10-03,-,NAIT Students' Association,-,Tyleen Saison,"Alberta Treasury Board and Finance, Alberta Advanced Education",Northern Alberta Institute of Technology,Post-secondary Education,OL-10373-18,Organization Lobbyist,"Jody Gylander, Chris Chelmick, Tyleen Saison, Jason Roth, Renata Medeiros",Semi-Annual Renewal,Archived,View 
2022-10-03,-,Novartis Pharmaceuticals Canada Inc.,-,Andrea Marazzi,"Service Alberta, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Health, Alberta Treasury Board and Finance, Premier's Office, Alberta Seniors and Housing","University of Alberta, Alberta Health Services, University of Calgary",Health,OL-10496-26,Organization Lobbyist,"Sophie Rochon, Caroline Barber, Kimberly King, Thea Discepola, Andrea Marazzi, Helen Trifonopolous",Semi-Annual Renewal,Archived,View 
2022-09-30,-,Verum Consulting,Tourism Industry Association of Alberta,Ben Brunnen,"Alberta Jobs, Economy and Innovation",-,Tourism,CL-12915-01,Consultant Lobbyist,Ben Brunnen,Initial Return,Archived,View 
2022-09-30,-,Verum Consulting,Canadian Manufacturers and Exporters Association,Ben Brunnen,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education",-,"Research and Development, Economic Development, Transportation, Trades and Occupations",CL-12904-01,Consultant Lobbyist,Ben Brunnen,Initial Return,Archived,View 
2022-09-29,-,Wellington Advocacy Inc.,New Star Capital Inc,Nick Koolsbergen,"Alberta Environment and Parks, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Education, Alberta Legislative Assembly, Alberta Treasury Board and Finance","Alberta Gaming, Liquor and Cannabis Commission",Economic Development,CL-12765-03,Consultant Lobbyist,"Brad Tennant, Matt de Jong",Notice of Change,Archived,View 
2022-09-29,-,Wellington Advocacy Inc.,Orange Acres Development Ltd.,Nick Koolsbergen,"Alberta Jobs, Economy and Innovation, Alberta Legislative Assembly",Invest Alberta Corporation,Economic Development,CL-12783-03,Consultant Lobbyist,"Brad Tennant, Matt de Jong, Peter Csillag",Notice of Change,Archived,View 
2022-09-27,-,"Letko, Brosseau & Associates Inc.",-,Daniel Brosseau,"Alberta Labour and Immigration, Alberta Infrastructure, Alberta Children’s Services, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Service Alberta, Alberta Community and Social Services, Executive Council, Alberta Health, Alberta Justice and Solicitor General, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Culture and Status of Women, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office, Alberta Seniors and Housing, Alberta Advanced Education",-,"Employment and Training, Research and Development, Banks and Other Financial Institutions, Pensions, Economic Development",OL-12790-03,Organization Lobbyist,"Peter Letko, David Després, Daniel Brosseau",Notice of Change,Archived,View 
